file,basename,sample,species,subject,animal_id,tissue,tissue_code,replicate,egg_production,read_pair
RH307_4_R1_001.fastq.gz,RH307_4_R1_001,RH307_uterus_rep1,chicken,RH307,307,uterus,4,1,low,1
RH315_4_R2_001.fastq.gz,RH315_4_R2_001,RH315_uterus_rep1,chicken,RH315,315,uterus,4,1,low,2
RH5_1_R1_001.fastq.gz,RH5_1_R1_001,RH5_ovary_rep1,chicken,RH5,5,ovary,1,1,high,1
RH1_2_R2_001.fastq.gz,RH1_2_R2_001,RH1_ovary_rep2,chicken,RH1,1,ovary,2,2,high,2
RH303_4_R1_001.fastq.gz,RH303_4_R1_001,RH303_uterus_rep1,chicken,RH303,303,uterus,4,1,low,1
RH307_4_R2_001.fastq.gz,RH307_4_R2_001,RH307_uterus_rep1,chicken,RH307,307,uterus,4,1,low,2
RH3_1_R1_001.fastq.gz,RH3_1_R1_001,RH3_ovary_rep1,chicken,RH3,3,ovary,1,1,high,1
RH5_1_R2_001.fastq.gz,RH5_1_R2_001,RH5_ovary_rep1,chicken,RH5,5,ovary,1,1,high,2
RH1_4_R1_001.fastq.gz,RH1_4_R1_001,RH1_uterus_rep1,chicken,RH1,1,uterus,4,1,high,1
RH303_4_R2_001.fastq.gz,RH303_4_R2_001,RH303_uterus_rep1,chicken,RH303,303,uterus,4,1,low,2
RH310_1_R1_001.fastq.gz,RH310_1_R1_001,RH310_ovary_rep1,chicken,RH310,310,ovary,1,1,low,1
RH3_1_R2_001.fastq.gz,RH3_1_R2_001,RH3_ovary_rep1,chicken,RH3,3,ovary,1,1,high,2
RH5_2_R1_001.fastq.gz,RH5_2_R1_001,RH5_ovary_rep2,chicken,RH5,5,ovary,2,2,high,1
RH1_4_R2_001.fastq.gz,RH1_4_R2_001,RH1_uterus_rep1,chicken,RH1,1,uterus,4,1,high,2
RH305_1_R1_001.fastq.gz,RH305_1_R1_001,RH305_ovary_rep1,chicken,RH305,305,ovary,1,1,low,1
RH310_1_R2_001.fastq.gz,RH310_1_R2_001,RH310_ovary_rep1,chicken,RH310,310,ovary,1,1,low,2
RH3_2_R1_001.fastq.gz,RH3_2_R1_001,RH3_ovary_rep2,chicken,RH3,3,ovary,2,2,high,1
RH5_2_R2_001.fastq.gz,RH5_2_R2_001,RH5_ovary_rep2,chicken,RH5,5,ovary,2,2,high,2
RH2_1_R1_001.fastq.gz,RH2_1_R1_001,RH2_ovary_rep1,chicken,RH2,2,ovary,1,1,high,1
RH305_1_R2_001.fastq.gz,RH305_1_R2_001,RH305_ovary_rep1,chicken,RH305,305,ovary,1,1,low,2
RH310_2_R1_001.fastq.gz,RH310_2_R1_001,RH310_ovary_rep2,chicken,RH310,310,ovary,2,2,low,1
RH3_2_R2_001.fastq.gz,RH3_2_R2_001,RH3_ovary_rep2,chicken,RH3,3,ovary,2,2,high,2
RH5_4_R1_001.fastq.gz,RH5_4_R1_001,RH5_uterus_rep1,chicken,RH5,5,uterus,4,1,high,1
RH2_1_R2_001.fastq.gz,RH2_1_R2_001,RH2_ovary_rep1,chicken,RH2,2,ovary,1,1,high,2
RH305_2_R1_001.fastq.gz,RH305_2_R1_001,RH305_ovary_rep2,chicken,RH305,305,ovary,2,2,low,1
RH310_2_R2_001.fastq.gz,RH310_2_R2_001,RH310_ovary_rep2,chicken,RH310,310,ovary,2,2,low,2
RH3_4_R1_001.fastq.gz,RH3_4_R1_001,RH3_uterus_rep1,chicken,RH3,3,uterus,4,1,high,1
RH5_4_R2_001.fastq.gz,RH5_4_R2_001,RH5_uterus_rep1,chicken,RH5,5,uterus,4,1,high,2
RH2_2_R1_001.fastq.gz,RH2_2_R1_001,RH2_ovary_rep2,chicken,RH2,2,ovary,2,2,high,1
RH305_2_R2_001.fastq.gz,RH305_2_R2_001,RH305_ovary_rep2,chicken,RH305,305,ovary,2,2,low,2
RH310_4_R1_001.fastq.gz,RH310_4_R1_001,RH310_uterus_rep1,chicken,RH310,310,uterus,4,1,low,1
RH3_4_R2_001.fastq.gz,RH3_4_R2_001,RH3_uterus_rep1,chicken,RH3,3,uterus,4,1,high,2
RH2_2_R2_001.fastq.gz,RH2_2_R2_001,RH2_ovary_rep2,chicken,RH2,2,ovary,2,2,high,2
RH305_4_R1_001.fastq.gz,RH305_4_R1_001,RH305_uterus_rep1,chicken,RH305,305,uterus,4,1,low,1
RH310_4_R2_001.fastq.gz,RH310_4_R2_001,RH310_uterus_rep1,chicken,RH310,310,uterus,4,1,low,2
RH4_1_R1_001.fastq.gz,RH4_1_R1_001,RH4_ovary_rep1,chicken,RH4,4,ovary,1,1,high,1
RH2_4_R1_001.fastq.gz,RH2_4_R1_001,RH2_uterus_rep1,chicken,RH2,2,uterus,4,1,high,1
RH305_4_R2_001.fastq.gz,RH305_4_R2_001,RH305_uterus_rep1,chicken,RH305,305,uterus,4,1,low,2
RH315_1_R1_001.fastq.gz,RH315_1_R1_001,RH315_ovary_rep1,chicken,RH315,315,ovary,1,1,low,1
RH4_1_R2_001.fastq.gz,RH4_1_R2_001,RH4_ovary_rep1,chicken,RH4,4,ovary,1,1,high,2
